Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
grinder square,5,5,2900,5,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,27,0.89,0.00,0,10,[100],2025-11-13,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",informational,People also ask
custom rolling trays wholesale,1,1,110,12,0.00,https://munchmakers.com/product-category/custom-rolling-trays/,27,0.89,0.00,0,93,"[52,52,66,66,66,52,52,33,52,52,66,23]",2025-08-25,"Image pack, Video, Image, Related searches","informational, transactional",Organic
custom grinder,3,3,320,11,4.51,https://munchmakers.com/,26,0.85,117.00,0.02,23300000,"[29,36,36,44,44,54,44,44,36,36,44,36]",2025-09-04,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
raw papers price,1,1,390,24,0.00,https://munchmakers.com/blog/unlocking-the-price-how-much-should-you-pay-for-raw-rolling-papers/,25,0.82,0.00,0,120000000,"[100,100,81,81,81,66,44,28,44,66,35,35]",2025-09-11,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",transactional,People also ask
cool grinders,9,9,1000,17,0.00,https://munchmakers.com/blog/top-cool-weed-grinders-enhance-your-herb-experience/,24,0.79,0.00,0,14200000,"[52,52,68,68,46,46,52,52,52,46,46,37]",2025-10-11,"Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
chromium crusher,2,2,720,5,0.34,https://munchmakers.com/blog/your-ultimate-guide-to-chromium-crushers-for-epic-herb-grinding/,23,0.76,7.00,0.11,753000,"[46,46,46,52,37,31,37,31,37,31,37,31]",2025-11-20,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
consumer preferences for joint rollers,1,1,170,0,0.00,https://munchmakers.com/blog/master-your-rolling-game-the-ultimate-guide-to-choosing-the-best-joint-roller-for-cannabis-enthusiasts/,22,0.72,0.00,0,8560000,"[26,100]",2025-09-05,"Image pack, Sitelinks, Video, AI overview",informational,Organic
smoker gifts,1,1,320,10,0.95,https://munchmakers.com/blog/gifts-for-smokers-ultimate-guide-with-50-perfect-presents-for-every-type-of-smoker/,22,0.72,20.00,1,15700000,"[5,7,8,8,30,54,10,8,7,7,0,4]",2025-09-09,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums, AI overview","commercial, informational",AI overview
herb grinder custom,1,1,90,6,4.51,https://munchmakers.com/,22,0.72,99.00,0.02,951000,"[1,0,0,32,1,0,17,26,11,0,0,7]",2025-08-27,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
can you smoke the raw warning paper,4,4,480,21,0.00,https://munchmakers.com/blog/everything-you-need-to-know-about-raw-rolling-papers-features-benefits-and-buying-tips/,21,0.69,0.00,0,66,"[81,81,81,81,54,29,54,54,67,44,36,19]",2025-09-08,"Sitelinks, Related searches, AI overview",informational,Organic
can you smoke the warning raw paper,3,3,260,21,0.00,https://munchmakers.com/blog/everything-you-need-to-know-about-raw-rolling-papers-features-benefits-and-buying-tips/,21,0.69,0.00,0,75,"[0,11,11,1,8,18,1,81,100,100,100,100]",2025-08-28,"Sitelinks, Related searches",,Organic
custom gringer,3,3,260,6,0.00,https://munchmakers.com/,21,0.69,0.00,0,96,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-09-05,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
boomers grinder,3,3,260,0,0.00,https://munchmakers.com/blog/your-ultimate-guide-to-coarse-weed-grinders-the-boomers-experience/,21,0.69,0.00,0,87,"[35,22,35,29,66,66,43,81,66,100,66,66]",2025-09-01,"Image pack, Sitelinks, Image, Related searches",commercial,Organic
chromium crusher,3,3,720,5,0.34,https://munchmakers.com/blog/your-ultimate-guide-to-chromium-crushers-for-epic-herb-grinding/,21,0.69,7.00,0.11,753000,"[46,46,46,52,37,31,37,31,37,31,37,31]",2025-11-20,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
best stash box of 2024,3,3,320,9,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-stash-boxes-secure-discreet-storage-solutions-for-2024/,20,0.66,0.00,0,5760000,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-09-02,"Image pack, Video, Image, People also ask, Popular products, Related searches, AI overview",commercial,Organic
best cigarette rolling machine,1,1,590,18,0.00,https://munchmakers.com/blog/roll-your-own-the-ultimate-guide-to-choosing-the-best-cigarette-rolling-machine-d7cea0/,20,0.66,0.00,0,10,"[59,48,39,59,72,59,59,59,72,72,88,72]",2025-11-19,"Video, Image, People also ask, Popular products, Related searches, AI overview",commercial,AI overview
raw rolling machine,2,2,1600,28,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-choosing-the-best-rolling-machine-for-your-smoking-experience/,19,0.62,0.00,0,67300000,"[24,34,44,55,65,65,100,65,65,100,34,55]",2025-09-26,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Things to know","informational, transactional",Things to know
tobacco electric rolling machine,3,3,1600,24,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-choosing-the-best-rolling-machine-for-your-smoking-experience/,19,0.62,0.00,0,4350000,"[8,13,7,29,3,100,100,66,44,5,0,5]",2025-10-07,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",People also ask
electric grinder for weed,2,2,1300,6,0.00,https://munchmakers.com/blog/unlocking-the-benefits-of-a-quality-weed-grinder-3/,19,0.62,0.00,0,8700000,"[16,16,19,44,16,8,10,10,19,10,16,16]",2025-10-04,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
custom rolling tray,4,4,1600,9,0.00,https://munchmakers.com/product-category/custom-rolling-trays/,19,0.62,0.00,0,13600000,"[13,16,24,29,19,13,13,13,13,13,16,13]",2025-10-06,"Knowledge panel, Sitelinks, Video, Image, Related searches, Things to know",informational,Things to know
glass ashtray,4,4,1600,27,0.28,https://munchmakers.com/es/blog/elevate-your-smoking-experience-the-ultimate-guide-to-crystal-glass-ashtrays/,19,0.62,5.00,1,7300000,"[44,52,44,27,44,44,27,36,44,44,44,44]",2025-09-26,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
customize weed grinder,2,2,140,2,0.00,https://munchmakers.com/,18,0.59,0.00,0,1080000,"[19,19,15,15,12,29,15,15,6,12,29,23]",2025-09-08,"Image pack, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
customizable weed grinder,1,1,140,0,0.00,https://munchmakers.com/,18,0.59,0.00,0,96,"[19,19,15,15,12,29,12,15,15,12,23,19]",2025-09-08,"Image pack, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
custom rolling trays,6,6,720,6,0.00,https://munchmakers.com/product-category/custom-rolling-trays/,17,0.56,0.00,0,6130000,"[5,5,5,5,7,8,5,100,5,5,10,13]",2025-08-30,"Knowledge panel, Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
mini rolling tray custom engraved,10,10,1900,0,0.00,https://munchmakers.com/product-category/custom-rolling-trays/,17,0.56,0.00,0,12100000,"[100,0]",2025-09-24,"Video, Image, Popular products, Related searches",transactional,Organic
custom ash tray,4,4,390,1,0.72,https://munchmakers.com/product-category/custom-ashtrays/,17,0.56,12.00,1,4780000,"[55,13,13,20,45,16,36,13,24,20,30,20]",2025-10-03,"Image pack, Video, Image, Ads top, Ads bottom, Video Carousel, Popular products, Related searches, Ads middle","informational, transactional",Organic
weed grinder with kief catcher,6,6,590,12,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,17,0.56,0.00,0,56600,"[72,48,72,32,88,88,100,100,17,72,48,26]",2025-10-02,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Discussions and forums",commercial,Organic
custom weed grinders,3,3,210,0,0.00,https://munchmakers.com/,17,0.56,0.00,0,10,"[29,29,36,66,36,29,23,19,15,29,36,29]",2025-11-16,"Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
custom rolling tray,4,4,1600,9,0.00,https://munchmakers.com/blog/roll-in-style-the-ultimate-guide-to-customizing-your-rolling-tray/,17,0.56,0.00,0,13600000,"[13,16,24,29,19,13,13,13,13,13,16,13]",2025-10-06,"Knowledge panel, Sitelinks, Video, Image, Related searches, Things to know",informational,Things to know
custom ashtray,4,4,390,0,0.72,https://munchmakers.com/product-category/custom-ashtrays/,17,0.56,12.00,1,3130000,"[25,25,37,13,37,11,8,13,11,8,37,31]",2025-10-02,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
ashtray custom,2,2,210,0,0.60,https://munchmakers.com/product-category/custom-ashtrays/,17,0.56,10.00,1,5160000,"[8,6,8,8,10,16,8,16,16,13,24,24]",2025-08-31,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
boomers grinders,3,3,210,2,0.00,https://munchmakers.com/blog/your-ultimate-guide-to-coarse-weed-grinders-the-boomers-experience/,17,0.56,0.00,0,72,"[53,28,23,17,17,43,53,35,66,82,100,66]",2025-09-07,"Image pack, Sitelinks, Video, Related searches",commercial,Organic
rolling cones,3,3,1300,15,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,15,0.49,0.00,0,10,"[22,22,22,22,100,3,8,13,65,10,20,16]",2025-11-18,"Local pack, Image pack, Video, Image, People also ask, Popular products, Related searches",transactional,People also ask
kinds of lighter,1,1,880,20,0.47,https://munchmakers.com/blog/choosing-the-right-lighter-essential-guide-and-tips/,15,0.49,7.00,0.47,174000000,"[30,45,24,55,10,45,81,100,81,100,6,30]",2025-10-12,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
rolling cigarettes machine,2,2,2400,35,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-choosing-the-best-rolling-machine-for-your-smoking-experience/,15,0.49,0.00,0,15100000,"[13,10,19,3,7,1,81,1,1,1,3,0]",2025-09-24,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",transactional,People also ask
cute grinders,8,8,590,24,0.00,https://munchmakers.com/blog/grind-in-style-the-ultimate-guide-to-pretty-and-customizable-weed-grinders/,14,0.46,0.00,0,84,"[36,36,30,36,36,55,30,36,24,30,36,16]",2025-09-11,"Image pack, Video, Image, Related searches",commercial,Organic
custom weed grinder,1,1,110,7,0.00,https://munchmakers.com/,14,0.46,0.00,0,2420000,"[21,34,28,34,43,65,21,21,21,21,15,43]",2025-08-28,"Image pack, Video, Image, Popular products",commercial,Organic
large weed grinder,6,6,720,15,0.56,https://munchmakers.com/product/custom-big-grinder,13,0.42,7.00,0.47,8110000,"[36,55,55,55,24,67,55,45,55,45,55,67]",2025-08-30,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
cute weed grinders,6,6,390,13,0.00,https://munchmakers.com/blog/grind-in-style-the-ultimate-guide-to-pretty-and-customizable-weed-grinders/,13,0.42,0.00,0,95,"[45,67,6,45,55,55,36,20,8,36,3,13]",2025-09-04,"Related searches, Discussions and forums",commercial,Organic
auto joint roller,3,3,880,25,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-joint-rollers-for-perfect-blunts-every-time/,13,0.42,0.00,0,18100000,"[36,55,100,76,100,30,67,67,55,76,67,45]",2025-09-28,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,People also ask
paper tray,1,1,2900,20,0.87,https://munchmakers.com/blog/rolling-in-style-the-ultimate-guide-to-choosing-the-perfect-rolling-tray/,13,0.42,11.00,1,297000000,"[66,44,44,35,66,44,53,53,35,53,81,100]",2025-10-14,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, Popular products, Related searches, Things to know, Explore brands, Ads middle",commercial,Things to know
custom rolling papers,11,11,1000,22,0.00,https://munchmakers.com/product-category/custom-rolling-papers/,13,0.42,0.00,0,19300000,"[16,29,13,16,18,16,18,16,18,18,24,35]",2025-11-20,"Knowledge panel, Sitelinks, Video, Popular products, Related searches",informational,Organic
custom rolling tray wholesale,1,1,50,3,0.00,https://munchmakers.com/product-category/custom-rolling-trays/,12,0.39,0.00,0,1190000,"[5,10,12,7,7,7,5,5,5,7,10,100]",2025-08-31,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
customizable grinders,1,1,50,4,4.51,https://munchmakers.com/,12,0.39,54.00,0.02,1280000,"[0,0,1,32,2,1,17,0,9,1,1,2]",2025-08-23,"Image pack, Video, Image, Related searches",commercial,Organic
rolling machine weed,1,1,1000,25,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-choosing-the-best-rolling-machine-for-your-smoking-experience/,12,0.39,0.00,0,14200000,"[45,55,45,100,36,62,55,55,62,81,55,100]",2025-10-04,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",People also ask
best weed logos,1,1,210,19,0.00,https://www.munchmakers.com/best-weed-logo-design-ideas-top-inspirations-and-free-logo-maker-tools/,12,0.39,0.00,0,98300000,"[0,0,0,100,0,0,0,0,0,0,0,0]",2025-09-06,"Image pack, Image, People also ask, Related searches, Discussions and forums, AI overview",commercial,AI overview
tsunami grinder,2,2,720,0,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,12,0.39,0.00,0.03,798000,"[72,72,72,88,72,72,59,59,59,59,72,59]",2025-10-01,"Image pack, Video, Image, People also ask, Related searches",commercial,People also ask
cenicero,1,1,1000,37,0.23,https://munchmakers.com/blog/different-types-of-ashtrays/,12,0.39,2.00,0.12,9340000,"[67,76,55,100,67,55,76,67,76,76,67,76]",2025-10-11,"Instant answer, Image pack, Video, Image, People also ask, Popular products, Related searches",informational,People also ask
raw joint roller machine,3,3,720,14,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-choosing-the-best-rolling-machine-for-your-smoking-experience/,12,0.39,0.00,0,3800000,"[59,72,59,88,59,88,88,26,72,59,100,32]",2025-09-10,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
cocaine grinder,8,8,480,26,0.00,https://munchmakers.com/blog/unlock-the-power-of-coke-grinders-your-ultimate-guide-to-features-benefits-and-buying-tips/,11,0.36,0.00,0,604000,"[100,81,81,54,66,44,44,66,81,81,54,100]",2025-10-03,"Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
cute grinders weed,7,7,480,13,0.00,https://munchmakers.com/blog/grind-in-style-the-ultimate-guide-to-pretty-and-customizable-weed-grinders/,11,0.36,0.00,0,94,"[100,100,44,67,36,81,36,10,29,23,29,36]",2025-09-06,"Image pack, Image, Related searches, Discussions and forums",commercial,Organic
how to use a raw roller,10,10,590,22,0.00,https://munchmakers.com/blog/how-to-roll-with-raw-papers/,11,0.36,0.00,0,47200000,"[59,72,72,59,88,88,11,72,59,59,39,59]",2025-09-12,"Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums",informational,Organic
personalized grinder,4,4,320,2,4.51,https://munchmakers.com/,11,0.36,49.00,0.02,13600000,"[24,24,20,24,16,45,13,20,6,10,45,30]",2025-09-02,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
electric herb grinder with kief catcher,4,4,260,0,0.00,https://munchmakers.com/blog/electric-weed-grinders-revolutionizing-cannabis-preparation/,11,0.36,0.00,0,45,"[66,53,53,53,66,100,100,53,66,53,66,53]",2025-08-24,"Image pack, Sitelinks, Image, Popular products, Related searches",commercial,Organic
glass paper rolling,1,1,260,3,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,10,0.33,0.00,0.02,65000000,"[48,21,48,11,48,17,59,9,14,9,17,21]",2025-08-15,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","commercial, informational",People also ask
grinder prices weed,1,1,590,52,0.00,https://munchmakers.com/blog/unlocking-the-benefits-of-a-quality-weed-grinder-3/,10,0.33,0.00,0,8050000,"[45,67,30,67,13,100,100,100,0,0,0,0]",2025-10-10,"Sitelinks, Video, Image, People also ask, Popular products, Related searches, AI overview",transactional,People also ask
herb grinding,10,10,3600,17,0.00,https://munchmakers.com/blog/unlocking-the-benefits-of-a-quality-weed-grinder-3/,10,0.33,0.00,0,10,"[3,1,1,2,0,100,0,0,0,0,0,3]",2025-11-12,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
biggest grinder,1,1,170,2,0.00,https://munchmakers.com/product/custom-big-grinder,10,0.33,0.00,0.07,22200000,"[29,18,22,100,22,43,35,22,29,29,54,35]",2025-08-21,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Image pack
ceramic grinder,2,2,320,6,1.07,https://munchmakers.com/blog/unleash-flavor-why-ceramic-weed-grinders-are-a-must-have-for-herb-lovers,10,0.33,10.00,0.59,17900000,"[54,54,54,54,66,66,66,54,18,66,54,66]",2025-08-28,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
top papers,2,2,720,14,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,10,0.33,0.00,0,621000000,"[13,13,16,100,8,13,13,68,100,11,13,84]",2025-09-02,"Image pack, Video, Image, People also ask, Popular products, Related searches","commercial, informational",People also ask
tobacco rolling machine,2,2,720,34,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-choosing-the-best-rolling-machine-for-your-smoking-experience/,10,0.33,0.00,0,12400000,"[20,37,37,13,37,16,37,46,46,37,52,37]",2025-09-11,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
electric tobacco rolling machine,3,3,880,31,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-choosing-the-best-rolling-machine-for-your-smoking-experience/,10,0.33,0.00,0,4290000,"[81,10,16,8,16,7,13,8,13,36,10,29]",2025-09-28,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",People also ask
weed grinder set,3,3,720,18,0.00,https://munchmakers.com/blog/unlocking-the-benefits-of-a-quality-weed-grinder-3/,10,0.33,0.00,0.03,10800000,"[59,59,59,100,88,88,72,88,59,59,72,88]",2025-10-02,"Image pack, Video, Image, People also ask, Related searches, Discussions and forums",transactional,People also ask
chromium crusher grinder,6,6,320,3,0.55,https://munchmakers.com/blog/your-ultimate-guide-to-chromium-crushers-for-epic-herb-grinding/,9,0.29,4.00,0.62,73,"[20,20,13,20,20,24,20,16,16,16,16,16]",2025-08-21,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
custom grinders for weed,3,3,110,3,0.00,https://munchmakers.com/,9,0.29,0.00,0,1680000,"[10,7,10,19,15,15,7,10,15,19,15,7]",2025-11-19,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
smoker accessories gifts,1,1,260,11,0.58,https://munchmakers.com/blog/gifts-for-smokers-ultimate-guide-with-50-perfect-presents-for-every-type-of-smoker/,9,0.29,5.00,1,4340000,"[13,11,2,4,31,52,8,7,5,3,4,7]",2025-08-30,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums, AI overview","commercial, informational",AI overview
grinders for tobacco,1,1,140,24,0.00,https://munchmakers.com/blog/your-guide-to-tobacco-grinding-04bb77/,9,0.29,0.00,0,2660000,"[45,20,5,6,5,5,3,4,4,3,4,4]",2025-08-19,"Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
custom grinders wholesale,1,1,40,0,0.00,https://munchmakers.com/,9,0.29,0.00,0,1340000,"[19,23,19,33,33,33,23,19,19,14,9,9]",2025-08-31,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
herb grinder cute,7,7,480,11,0.00,https://munchmakers.com/blog/grind-in-style-the-ultimate-guide-to-pretty-and-customizable-weed-grinders/,9,0.29,0.00,0,96,"[100,100,44,67,36,100,19,29,12,15,36,36]",2025-08-30,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
custom rolling papers low minimum,2,2,70,0,0.00,https://munchmakers.com/product-category/custom-rolling-papers/,9,0.29,0.00,0,79,"[27,63,81,81,63,63,81,63,63,63,45,45]",2025-08-30,"Image pack, Sitelinks, Video, Image, People also ask, FAQ, Popular products, Related searches",commercial,Organic
4 piece weed grinder,1,1,140,12,0.57,https://munchmakers.com/blog/4-piece-grinder-vs-2-piece-grinder-what-grinder-should-you-get-it/,9,0.29,5.00,0.94,15400000,"[7,5,10,82,53,100,7,5,66,12,12,100]",2025-08-17,"Image pack, Video, Image, People also ask, Related searches, Discussions and forums",commercial,People also ask
good grinders for kief,1,1,140,22,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-the-best-grinder-for-kief-collection-99fca0/,9,0.29,0.00,0,625000,"[66,53,43,35,23,35,23,28,10,23,35,35]",2025-08-20,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
best grinder with kief catcher,2,2,70,7,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,9,0.29,0.00,0,10,"[81,81,45,63,63,63,45,63,45,45,63,45]",2025-11-12,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
custom tobacco grinder,4,4,210,0,0.00,https://munchmakers.com/,9,0.29,0.00,0.01,10,"[0,54,0,0,28,44,15,23,100,66,23,23]",2025-11-11,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
extra large herb grinder,3,3,140,11,0.56,https://munchmakers.com/product/custom-big-grinder,9,0.29,5.00,0.02,3230000,"[33,66,52,100,100,66,66,52,66,66,66,66]",2025-08-26,"Image pack, Sitelinks, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
cool herb grinders,10,10,480,16,0.00,https://munchmakers.com/blog/top-cool-weed-grinders-enhance-your-herb-experience/,9,0.29,0.00,0,3990000,"[59,26,39,26,17,39,21,14,100,100,88,72]",2025-09-04,"Image pack, Sitelinks, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
best herb grinder for kief,1,1,140,7,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-choosing-the-best-grinder-for-kief-collection-30031c/,9,0.29,0.00,0,54400,"[81,65,53,43,28,43,28,34,12,28,43,43]",2025-08-27,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
customized ashtrays,5,5,260,4,0.60,https://munchmakers.com/product-category/custom-ashtrays/,9,0.29,5.00,1,1390000,"[23,12,23,29,29,44,23,44,36,54,54,44]",2025-09-01,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
automatic joint rolling machine raw,1,1,140,18,0.00,https://munchmakers.com/blog/master-the-art-of-rolling-the-ultimate-guide-to-joint-rollers-for-effortless-enjoyment/,9,0.29,0.00,0,96,"[26,34,34,34,53,100,53,53,53,53,65,42]",2025-08-29,"Image pack, Video, Image, People also ask, Related searches, Discussions and forums",commercial,People also ask
big weed grinder,5,5,260,27,0.56,https://munchmakers.com/product/custom-big-grinder,9,0.29,5.00,0.47,7980000,"[16,20,16,45,16,20,20,13,16,16,20,24]",2025-08-30,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
weed rolling machine automatic,1,1,140,21,0.00,https://munchmakers.com/blog/mastering-the-art-of-rolling-your-ultimate-guide-to-joint-rollers/,9,0.29,0.00,0,5340000,"[28,23,18,8,23,15,23,44,28,18,28,23]",2025-08-31,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",People also ask
car ashtray,1,1,2400,27,0.25,https://munchmakers.com/blog/different-types-of-ashtrays/,8,0.26,2.00,1,9380000,"[54,54,43,54,36,54,43,54,54,54,81,54]",2025-09-27,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Things to know",commercial,Things to know
roll machine cigarette,3,3,1900,31,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-choosing-the-best-rolling-machine-for-your-smoking-experience/,8,0.26,0.00,0,8700000,"[1,1,1,1,1,1,100,19,2,8,3,0]",2025-09-25,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",commercial,People also ask
grinder with kief catcher,6,6,720,32,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-choosing-the-best-grinder-for-kief-collection-30031c/,8,0.26,0.00,0,81,"[76,36,67,55,67,100,67,67,55,55,45,45]",2025-09-10,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches",commercial,People also ask
electric rolling machine,2,2,480,20,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-choosing-the-best-rolling-machine-for-your-smoking-experience/,8,0.26,0.00,0,181000000,"[44,54,54,54,67,54,36,44,44,44,54,54]",2025-10-11,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",People also ask
