Dispensary Name,Address,City,State,Zip Code,Phone,Type
Star Buds - Kirkland,11516 124th Ave NE,Kirkland,WA,98033,,Recreational
Issaquah Cannabis Company,22833 SE 56th St,Issaquah,WA,98029,,Recreational
Kush Cannabis Dispensary,1817 130th Ave NE,Bellevue,WA,98005,,Recreational
Greenside Recreational - Renton,4242 E Valley Rd,Renton,WA,98057,,Recreational
Dank's - Renton,1209 Bronson Way N,Renton,WA,98057,,Recreational
Emerald Haze Cannabis Emporium,2218 Lind Ave SW,Renton,WA,98057,,Recreational
Kush21 - Burien,17730 Ambaum Blvd S,Burien,WA,98148,,Recreational
Kush21 - SeaTac,3020 S 176th St,SeaTac,WA,98188,,Recreational
The Joint - Burien,14004 1st Ave S,Burien,WA,98168,,Recreational
A Greener Today - Burien,14416 Ambaum Blvd SW,Burien,WA,98166,,Medical & Recreational
Western Bud Cannabis,14416 Ambaum Blvd SW,Burien,WA,98166,,Recreational
Cannabis Central,15032 1st Ave S,Burien,WA,98148,,Recreational
Kaleafa Cannabis Company - Des Moines,22602 Marine View Dr S,Des Moines,WA,98198,,Recreational
LUCID - Auburn,3310 Auburn Way N,Auburn,WA,98003,(253) 249-7730,Recreational
Bud Hut Maple Valley,22115 SE 231st Way,Maple Valley,WA,98038,,Recreational
Marley 420 Recreational Covington,17150 SE 272nd St,Covington,WA,98042,,Recreational
A Greener Today - Shoreline,16053 Aurora Ave N,Shoreline,WA,98133,,Recreational
The Vault Cannabis,16218 Aurora Ave N,Shoreline,WA,98133,,Recreational
Hashtag Cannabis - Shoreline,145 NE 165th St,Shoreline,WA,98155,,Recreational
Green Theory - Bothell,18028 Bothell Way NE,Bothell,WA,98011,,Recreational
A Greener Today - Bothell,19315 Bothell Everett Hwy,Bothell,WA,98012,,Recreational
Hashtag Cannabis - Everett,10 SE Everett Mall Way Suite C,Everett,WA,98208,(360) 822-9669,Recreational
The Joint - Everett,9506 19th Ave SE,Everett,WA,98208,,Recreational
Zips Cannabis - Everett,11311 Evergreen Way,Everett,WA,98204,,Recreational
Jet Cannabis,1714 Broadway,Everett,WA,98201,,Recreational
Floyd's Cannabis - Everett,4218 Rucker Ave,Everett,WA,98203,,Recreational
KushMart,12918 Mukilteo Speedway,Lynnwood,WA,98087,,Recreational
Buds Garage,9503 19th Ave SE,Everett,WA,98208,,Recreational
High Society,2804 Wetmore Ave,Everett,WA,98201,,Recreational
Cascade Kropz,7809 Evergreen Way,Everett,WA,98203,,Recreational
Whidbey Island Cannabis,5565 Vanderberg Rd,Freeland,WA,98249,,Recreational
Pleasantrees,10631 19th Ave SE Suite B,Everett,WA,98208,,Recreational
Kushman's Everett Cannabis Dispensary,10631 19th Ave SE,Everett,WA,98208,,Recreational
Green Lady - Lynnwood,16828 Hwy 99,Lynnwood,WA,98037,,Recreational
A Greener Today - Lynnwood,14608 Hwy 99,Lynnwood,WA,98087,,Recreational
The Joint - Tacoma,6602 6th Ave,Tacoma,WA,98406,,Recreational
Zips Cannabis - Tacoma 72nd,317 S 72nd St,Tacoma,WA,98408,,Recreational
Zips Cannabis - Tacoma 38th,3213 S 38th St,Tacoma,WA,98409,,Recreational
Zips Cannabis - Tacoma 6th,5924 6th Ave,Tacoma,WA,98406,,Recreational
Zips Cannabis - Tacoma Downtown,2611 Pacific Ave,Tacoma,WA,98402,,Recreational
Zips Cannabis - Tacoma 106th,10707 Pacific Ave S,Tacoma,WA,98444,,Recreational
Zips Cannabis - Parkland,10310 Sunrise Blvd,Parkland,WA,98444,,Recreational
Northwest Cannabis Connection,3403 South 56th St,Tacoma,WA,98409,,Medical & Recreational
Mary Mart - Recreational,5602 6th Ave,Tacoma,WA,98406,,Recreational
Natural Care,4711 S Pine St,Tacoma,WA,98409,,Recreational
House of Cannabis - Tacoma,5225 Tacoma Mall Blvd,Tacoma,WA,98409,,Medical & Recreational
The Stash Box,1214 S 72nd St,Tacoma,WA,98408,,Recreational
The Gallery - Tacoma,5225 S Tacoma Way,Tacoma,WA,98409,,Recreational
The Gallery - Spanaway,15502 Pacific Ave S,Spanaway,WA,98387,,Recreational
The Gallery - Gig Harbor,3116 Harborview Dr,Gig Harbor,WA,98335,,Recreational
Clear Choice Cannabis - Tacoma,8001 S Hosmer St,Tacoma,WA,98408,,Recreational
Clear Choice Cannabis - Tacoma 72nd,317 S 72nd St,Tacoma,WA,98408,,Recreational
Commencement Bay Cannabis - Red,1453 E 30th St,Tacoma,WA,98404,(253) 212-1726,Recreational
Commencement Bay Cannabis - Green,3509 72nd St E,Tacoma,WA,98443,(253) 503-6824,Recreational
Commencement Bay Cannabis - Black,218 Norpoint Way NE,Tacoma,WA,98422,(253) 944-1201,Recreational
Commencement Bay Cannabis - Yellow,5402 Pacific Hwy E,Fife,WA,98424,(253) 517-7265,Recreational
Clear Choice Cannabis - Bremerton,1345 Charleston Beach Rd W,Bremerton,WA,98312,,Recreational
Kush21 - Tacoma,10707 Pacific Ave S,Tacoma,WA,98444,,Recreational
LUCID - Puyallup,7924 River Rd E,Puyallup,WA,98371,(253) 604-7156,Recreational
Natural Blessing Cannabis,16015 Pacific Ave S,Spanaway,WA,98387,,Recreational
Sweet Jane - Gig Harbor,3116 Harborview Dr,Gig Harbor,WA,98335,,Recreational
28 Grahams Cannabis,18615 Meridian E,Puyallup,WA,98375,,Recreational
Galaxy21,15603 Pacific Ave S,Spanaway,WA,98387,,Recreational
The Gallery - Puyallup,11821 Canyon Rd E,Puyallup,WA,98373,(253) 604-4360,Recreational
King Cronic,11037 Bridgeport Way SW,Lakewood,WA,98499,,Recreational
Joint Rivers,11037 Bridgeport Way SW,Lakewood,WA,98499,,Recreational
Northwest Cannabis Connection - Lakewood,5501 100th St SW,Lakewood,WA,98499,,Recreational
Main Street Marijuana - Downtown Vancouver,2314 Main St,Vancouver,WA,98660,(360) 828-7737,Recreational
Main Street Marijuana - East Vancouver,16219 SE 12th St Suite 104,Vancouver,WA,98683,(360) 984-3881,Recreational
The Herbery - BLVD on St Johns,2815 St. Johns Blvd,Vancouver,WA,98661,(360) 433-9753,Recreational
The Herbery - Chkalov,13215 NE Highway 99 Suite C,Vancouver,WA,98686,,Recreational
The Herbery - NE 78th St,7809 NE 4th Plain Blvd,Vancouver,WA,98662,,Recreational
The Herbery - Fourth Plain,3214 NE 4th Plain Blvd,Vancouver,WA,98661,,Recreational
High End Cannabis,3700 Main St,Vancouver,WA,98663,,Recreational
Pot Zone Vancouver,1901 Main St Suite 120,Vancouver,WA,98660,,Recreational
Craft Cannabis - Mill Plain,6515 E Mill Plain Blvd,Vancouver,WA,98661,(503) 341-7097,Recreational
Craft Cannabis - Andresen,8101 NE Andresen Rd,Vancouver,WA,98665,,Recreational
Sticky's Pot Shop,600 SE Chkalov Dr Suite 14,Vancouver,WA,98683,,Recreational
High 5 Cannabis,8013 E Mill Plain Blvd,Vancouver,WA,98664,,Recreational
GreenHead Cannabis,609 SE Chkalov Dr,Vancouver,WA,98683,,Recreational
Q'anápsu Dispensary,455 NE 192nd Ave,Vancouver,WA,98684,,Recreational
Orchards Cannabis Market,12815 NE Highway 99,Vancouver,WA,98686,,Recreational
Green Lady - Olympia Eastside,3044 Pacific Ave SE,Olympia,WA,98501,,Recreational
Green Lady - Olympia Westside,2405 Harrison Ave NW Ste 102,Olympia,WA,98502,,Recreational
Green Lady - Lacey,4820 Yelm Hwy SE,Lacey,WA,98503,,Recreational
LUCID - Olympia,1620 Cooper Point Rd SW,Olympia,WA,98502,,Recreational
Greenfoot Cannabis,1701 Harrison Ave NW,Olympia,WA,98502,,Recreational
Olympia Weed Company,2007 4th Ave E,Olympia,WA,98506,,Recreational
THC of Olympia,2303 Capitol Way S,Olympia,WA,98501,,Recreational
420 Carpenter,4224 6th Ave SE,Lacey,WA,98503,,Recreational
Forbidden Cannabis Club - Lacey,3818 Old Highway 99 S Rd,Lacey,WA,98501,,Recreational
T Brothers 502 Recreational,4815 Yelm Hwy SE,Lacey,WA,98513,,Recreational
Tumwater Elevation,5780 Littlerock Rd SW,Tumwater,WA,98512,,Recreational
Bud Commander,1220 Cleveland Ave SE,Tumwater,WA,98501,,Recreational
Thunder Cannabis,5820 Littlerock Rd SW,Tumwater,WA,98512,,Recreational
Cannabis & Glass - North Spokane,605 E Francis Ave,Spokane,WA,99208,(509) 710-7118,Recreational
Cannabis & Glass - Spokane Valley,9403 E Trent Ave,Spokane Valley,WA,99206,(509) 710-7118,Recreational
Cannabis & Glass - Liberty Lake,25101 E Appleway Ave,Liberty Lake,WA,99019,(509) 710-7118,Recreational
420 Friendly,2002 N Division St,Spokane,WA,99207,,Medical & Recreational
Lucky Leaf Co. Spokane,1111 W 1st Ave Ste A,Spokane,WA,99201,(509) 474-9616,Recreational
Cinder - Downtown Spokane,927 W 2nd Ave,Spokane,WA,99201,,Recreational
Cinder - Spokane Valley,1421 N Mullan Rd B,Spokane Valley,WA,99206,(509) 241-3726,Recreational
Cinder - North Spokane,6010 N Division St,Spokane,WA,99208,(509) 241-3091,Recreational
Greenhand Inc,1324 N Ruby St,Spokane,WA,99202,,Recreational
Mary Jane's - Spokane,202 W 2nd Ave,Spokane,WA,99201,,Recreational
Smokane,2520 N Division St,Spokane,WA,99207,,Recreational
The Green Nugget - Spokane,7115 N Division St,Spokane,WA,99208,,Recreational
The Top Shelf,8404 N Division St,Spokane,WA,99208,,Recreational
TreeHouse Club,2909 E 29th Ave,Spokane,WA,99223,,Recreational
Primo Cannabis,1919 N Monroe St,Spokane,WA,99205,,Recreational
Savage THC,8923 E Trent Ave,Spokane Valley,WA,99206,,Recreational
Natural Green Cannabis,4220 S Cheney Spokane Rd,Spokane,WA,99224,,Recreational
Sapphire Cannabis,2214 N Division St,Spokane,WA,99207,,Recreational
Access Canibus LLC,10024 E Sprague Ave,Spokane Valley,WA,99206,,Recreational
I-90 Green House,1301 N Barker Rd,Spokane Valley,WA,99016,,Recreational
Magic Tree Collective,5020 E Sprague Ave,Spokane Valley,WA,99212,,Recreational
Royals Cannabis,12924 E Sprague Ave,Spokane Valley,WA,99216,,Recreational
Locals Canna House,8923 E Trent Ave,Spokane Valley,WA,99206,,Recreational
Spokane Green Leaf,111 S Argonne Rd,Spokane Valley,WA,99212,,Recreational
Lovely Buds,1815 N Hamilton St,Spokane,WA,99207,,Recreational
Sativa Sisters,3721 S Regal St,Spokane,WA,99223,,Recreational
CBD Of Washington,6010 N Division St,Spokane,WA,99208,,Recreational
Pend Oreille Cannabis Company,320 S Oak St,Newport,WA,99156,,Recreational
Blowin Smoke,122 W Crawford St,Deer Park,WA,99006,,Recreational
POM Cannabis,100 E Maple St,Bellingham,WA,98225,,Recreational
Smoking Crow,4712 Guide Meridian,Bellingham,WA,98226,,Recreational
Evolve Washington,4712 Pacific Hwy,Bellingham,WA,98226,,Recreational
Cascade Herb Company - Bellingham,1515 Iowa St,Bellingham,WA,98229,,Recreational
Cascade Herb Company - Ferndale,5726 Barrett Ave,Ferndale,WA,98248,,Recreational
Trove Cannabis,2200 Rimland Dr Suite 109,Bellingham,WA,98226,,Recreational
Green Leaf Marijuana - Bellingham,1303 Cornwall Ave,Bellingham,WA,98225,,Recreational
Cannazone Bellingham,5655 Guide Meridian,Bellingham,WA,98226,,Recreational
Trippy Hippie,1500 Railroad Ave,Bellingham,WA,98225,,Recreational
2020 Cannabis Solutions,4065 Guide Meridian,Bellingham,WA,98226,,Recreational
Western Bud - Bellingham,1515 Iowa St,Bellingham,WA,98229,,Recreational
The Joint Bellingham,1303 Railroad Ave,Bellingham,WA,98225,,Recreational
Piece of Mind Cannabis - Bellingham,1303 Cornwall Ave,Bellingham,WA,98225,,Recreational
Kitsap Cannabis - Port Orchard,4798 Bethel Rd SE,Port Orchard,WA,98366,,Recreational
Kitsap Cannabis - Silverdale,11493 Clear Creek Rd NW,Silverdale,WA,98383,,Recreational
HWY 420 - Silverdale,11493 Clear Creek Rd NW,Silverdale,WA,98383,,Recreational
HWY 420 - Poulsbo,18851 Viking Ave NW,Poulsbo,WA,98370,,Recreational
Destination HWY 420 - Bremerton,1810 NE McWilliams Rd,Bremerton,WA,98311,,Recreational
Fillabong - Bremerton,3311 Wheaton Way,Bremerton,WA,98310,,Recreational
Budeez,3720 Wheaton Way,Bremerton,WA,98310,,Recreational
One Hit Wonder Cannabis,9903 Silverdale Way NW,Silverdale,WA,98383,,Recreational
Greenway Marijuana - Bremerton,1345 Charleston Beach Rd W,Bremerton,WA,98312,,Recreational
Kitsap Cannabis - Kelso,106 N Pacific Ave,Kelso,WA,98626,,Recreational
Vibe Cannabis Co. - Kelso,406 Oak St,Kelso,WA,98626,,Recreational
The Freedom Markets - Ilwaco,125 Howerton Ave SE,Ilwaco,WA,98624,,Recreational
Zia Recreational - Hoquiam,905 Simpson Ave,Hoquiam,WA,98550,(360) 637-8365,Recreational
Cannabis 21 - Hoquiam,715 Simpson Ave,Hoquiam,WA,98550,,Recreational
Cannabis 21 - Aberdeen,2121 Simpson Ave,Aberdeen,WA,98520,,Recreational
Cannabis 21 - Ocean Shores,668 Ocean Shores Blvd NW,Ocean Shores,WA,98569,,Recreational
Floyd's Cannabis - Shelton,931 E Johns Prairie Rd,Shelton,WA,98584,(360) 426-8000,Recreational
Elevation W - Shelton,90 State Route 108,Shelton,WA,98584,(360) 462-4025,Recreational
Floyd's Cannabis - Burlington,1001 S Burlington Blvd,Burlington,WA,98233,,Recreational
Floyd's Cannabis - Mt. Vernon,1420 E College Way,Mount Vernon,WA,98273,,Recreational
Floyd's Cannabis - Sedro Woolley,1785 State Route 20,Sedro Woolley,WA,98284,,Recreational
Floyd's Cannabis - Port Angeles,1012 E 1st St,Port Angeles,WA,98362,,Recreational
Floyd's Cannabis - Pullman,5952 Airport Rd,Pullman,WA,99163,,Recreational
Mount Vernon Cannabis,1420 E College Way,Mount Vernon,WA,98273,,Recreational
Forbidden Cannabis Club - Mt Vernon,3818 Old Highway 99 S Rd,Mount Vernon,WA,98273,,Recreational
Western Bud - Burlington,1001 S Burlington Blvd,Burlington,WA,98233,,Recreational
Smuggler Brothers,1420 E College Way,Mount Vernon,WA,98273,,Recreational
Gateway Organix,1785 State Route 20,Sedro Woolley,WA,98284,,Recreational
Herbal Legends Cannabis,1200 Moore St,Sedro Woolley,WA,98284,,Recreational
Happy Time Weed Dispensary,1400 E College Way,Mount Vernon,WA,98273,,Recreational
Salish Coast Cannabis,1012 E 1st St,Port Angeles,WA,98362,,Recreational
Northwind Cannabis,1420 E College Way,Mount Vernon,WA,98273,,Recreational
Mister Buds,536 Marine Dr,Port Angeles,WA,98362,,Recreational
Sparket,1012 E 1st St,Port Angeles,WA,98362,,Recreational
Better Buds,138 W 8th St,Port Angeles,WA,98362,,Recreational
The Link,536 Marine Dr,Port Angeles,WA,98362,,Recreational
Muffy's Pot Shop,138 W 8th St,Port Angeles,WA,98362,,Recreational
The Hidden Bush,1012 E 1st St,Port Angeles,WA,98362,,Recreational
Cedar Greens Cannabis,281756 Highway 101,Sequim,WA,98382,,Recreational
Nature's Gifts,755 W Washington St Unit C,Sequim,WA,98382,,Recreational
Discovery Bay Cannabis,281756 Highway 101,Discovery Bay,WA,98339,,Recreational
Chimacum Cannabis,9110 Rhody Dr,Chimacum,WA,98325,,Recreational
One Hit Wonder - Port Townsend,2230 Sims Way,Port Townsend,WA,98368,,Recreational
Walla Walla Weedery,1603 East Isaacs Ave,Walla Walla,WA,99362,,Recreational
Walla Walla Cannabis Company,927 W Main St,Walla Walla,WA,99362,,Recreational
A Greener Today - Walla Walla,901 W Poplar St,Walla Walla,WA,99362,,Recreational
Craft Cannabis - Wenatchee,1510 N Wenatchee Ave,Wenatchee,WA,98801,,Recreational
Green Life Cannabis,3012 GS Center Rd,Wenatchee,WA,98801,,Recreational
Cannabis Provisions East,910 Valley Mall Pkwy,East Wenatchee,WA,98802,,Recreational
The Happy Crop Shoppe,1510 N Wenatchee Ave,Wenatchee,WA,98801,,Recreational
Nirvana Cannabis - East Wenatchee,910 Valley Mall Pkwy,East Wenatchee,WA,98802,,Recreational
Nirvana Cannabis - Richland,4950 Arena Rd,Richland,WA,99352,,Recreational
Nirvana Cannabis - Otis Orchards,4105 N Harvard Rd,Otis Orchards,WA,99027,,Recreational
The Pacific Outpost,2820 W Court St,Pasco,WA,99301,,Recreational
Lucky Leaf - Pasco,5201 Burden Blvd,Pasco,WA,99301,,Recreational
Green2Go - Kennewick,2708 W Kennewick Ave,Kennewick,WA,99336,,Recreational
Green2Go - Richland,1943 George Washington Way,Richland,WA,99354,,Recreational
Altitude MJ,2708 W Kennewick Ave,Kennewick,WA,99336,,Recreational
The Bake Shop - Kennewick,1943 George Washington Way,Kennewick,WA,99336,,Recreational
Fire Cannabis Co. - Yakima,1902 S 1st St,Yakima,WA,98901,,Recreational
Cannabis Central - Ellensburg,1301 S Canyon Rd,Ellensburg,WA,98926,,Recreational
The Firehouse - Ellensburg,601 N Main St,Ellensburg,WA,98926,,Recreational
The Green Shelf - Ellensburg,1301 Vantage Hwy,Ellensburg,WA,98926,,Recreational
The Station - Ellensburg,401 S Main St,Ellensburg,WA,98926,,Recreational
Cannabis Superstore - Ellensburg,1301 S Canyon Rd,Ellensburg,WA,98926,,Recreational
PRC - Conway,16871 State Route 534,Mount Vernon,WA,98273,,Recreational
PRC - Arlington,17131 Smokey Point Blvd,Arlington,WA,98223,,Recreational
PRC - Edmonds,7803 244th St SW,Edmonds,WA,98026,,Recreational
Cascade Kropz - Arlington,17131 Smokey Point Blvd,Arlington,WA,98223,,Recreational
210 Cannabis Co - Arlington,17131 Smokey Point Blvd,Arlington,WA,98223,,Recreational
Remedy Tulalip,6906 27th Ave NW,Tulalip,WA,98271,,Recreational
Green Dreams,17131 Smokey Point Blvd,Arlington,WA,98223,,Recreational
The Marijuana Mercantile,7803 244th St SW,Edmonds,WA,98026,,Recreational
Cannablyss,8632 Quilceda Blvd,Marysville,WA,98271,,Recreational
Jet Cannabis - Marysville,13224 Highway 99,Marysville,WA,98271,,Recreational
The Vault Cannabis - Marysville,8632 Quilceda Blvd,Marysville,WA,98271,,Recreational
Everyday Natural,7803 State Ave,Marysville,WA,98270,,Recreational
Kush21 - Vashon Island,17801 Vashon Hwy SW,Vashon,WA,98070,,Recreational
Kush21 - Pullman,5952 Airport Rd,Pullman,WA,99163,,Recreational
Kush21 - Kent,10116 SE 256th St,Kent,WA,98030,,Recreational
Kush21 - Des Moines,21901 Marine View Dr S,Des Moines,WA,98198,,Recreational
A Greener Today - Gold Bar,42804 State Route 2,Gold Bar,WA,98251,,Recreational
Cannabis Store - Tukwila,14500 Interurban Ave S,Tukwila,WA,98168,,Recreational
Green Collar Cannabis - Federal Way,1400 S 320th St,Federal Way,WA,98003,,Recreational
Main Street Marijuana - Federal Way,33411 Pacific Hwy S,Federal Way,WA,98003,,Recreational
Colville Cannabis,177 E 1st Ave,Colville,WA,99114,,Recreational
Natural Green Medicine - Cheney,1234 1st St,Cheney,WA,99004,,Recreational
Green Leaf - Airway Heights,13018 W Sunset Hwy,Airway Heights,WA,99001,,Recreational
Medical Lake Cannabis,720 S Lefevre St,Medical Lake,WA,99022,,Recreational
Kaleafa - Pullman,5952 Airport Rd,Pullman,WA,99163,,Recreational
Moses Lake Cannabis,1220 Stratford Rd,Moses Lake,WA,98837,,Recreational
Green Leaf - Moses Lake,1220 E Broadway Ave,Moses Lake,WA,98837,,Recreational
Sunnyside Cannabis,2001 E Edison Ave,Sunnyside,WA,98944,,Recreational
Toppenish Cannabis,228 S Elm St,Toppenish,WA,98948,,Recreational
Clarkston Cannabis,828 Bridge St,Clarkston,WA,99403,,Recreational
Pullman Green Leaf,5952 Airport Rd,Pullman,WA,99163,,Recreational
Colfax Cannabis,110 N Main St,Colfax,WA,99111,,Recreational
Prosser Cannabis,1230 Wine Country Rd,Prosser,WA,99350,,Recreational
Grandview Cannabis,1401 Stover Rd,Grandview,WA,98930,,Recreational
Union Gap Cannabis,2502 Main St,Union Gap,WA,98903,,Recreational
Mattawa Cannabis,501 Government Rd,Mattawa,WA,99349,,Recreational
Othello Cannabis,1545 E Main St,Othello,WA,99344,,Recreational
Quincy Cannabis,415 F St SW,Quincy,WA,98848,,Recreational
Soap Lake Cannabis,236 Main Ave E,Soap Lake,WA,98851,,Recreational
Ephrata Cannabis,1234 Basin St SW,Ephrata,WA,98823,,Recreational
Republic Cannabis,985 S Clark Ave,Republic,WA,99166,,Recreational
Omak Cannabis,915 Okoma Dr,Omak,WA,98841,,Recreational
Okanogan Cannabis,1234 2nd Ave S,Okanogan,WA,98840,,Recreational
Tonasket Cannabis,216 Whitcomb Ave,Tonasket,WA,98855,,Recreational
Brewster Cannabis,510 Main St,Brewster,WA,98812,,Recreational
Cashmere Cannabis,103 Cottage Ave,Cashmere,WA,98815,,Recreational
Leavenworth Cannabis,9011 Icicle Rd,Leavenworth,WA,98826,,Recreational
Cle Elum Cannabis,501 E 1st St,Cle Elum,WA,98922,,Recreational
Roslyn Cannabis,101 Pennsylvania Ave,Roslyn,WA,98941,,Recreational
Enumclaw Cannabis,1456 Cole St,Enumclaw,WA,98022,,Recreational
Buckley Cannabis,29716 State Route 410 E,Buckley,WA,98321,,Recreational
Eatonville Cannabis,210 Center St W,Eatonville,WA,98328,,Recreational
Sumner Cannabis,15205 Main St E,Sumner,WA,98390,,Recreational
Orting Cannabis,205 Washington Ave S,Orting,WA,98360,,Recreational
Bonney Lake Green Door,21901 State Route 410 E,Bonney Lake,WA,98391,,Recreational
Lake Stevens Cannabis,1808 Main St,Lake Stevens,WA,98258,,Recreational
Snohomish Cannabis,1123 1st St,Snohomish,WA,98290,,Recreational
Monroe Cannabis,19105 US Highway 2,Monroe,WA,98272,,Recreational
Sultan Cannabis,319 Main St,Sultan,WA,98294,,Recreational
Index Cannabis,56605 Index Galena Rd,Index,WA,98256,,Recreational
Granite Falls Cannabis,109 S Granite Ave,Granite Falls,WA,98252,,Recreational
Darrington Cannabis,1005 Seeman St,Darrington,WA,98241,,Recreational
