Name,Address,City,State,Zip,Phone,Website,Type
Cookies - Detroit,6030 8 Mile Road,Detroit,MI,48234,(313) 242-6080,https://shop.gagecannabis.com/cookiesdetroit,Recreational & Medical
Cookies - Ann Arbor,2460 W Stadium Blvd,Ann Arbor,MI,48103,(734) 436-1551,https://shop.gagecannabis.com/cookiesannarbor,Recreational & Medical
Cookies - Kalamazoo,2712 Portage Street,Kalamazoo,MI,49001,,https://gagecannabis.com,Recreational & Medical
Lume Cannabis - Kalkaska,,,Kalkaska,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Lowell,,,Lowell,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Mackinaw City,,,Mackinaw City,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Manistique,,,Manistique,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Monroe,,,Monroe,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Mount Pleasant 1,,,Mount Pleasant,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Mount Pleasant 2,,,Mount Pleasant,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Negaunee,,,Negaunee,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Owosso,,,Owosso,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Oxford,,,Oxford,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Petersburg,,,Petersburg,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Petoskey 1,,,Petoskey,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Petoskey 2,,,Petoskey,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Portage,,,Portage,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Saginaw,3446 State St,Saginaw,MI,48602,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Sault Ste Marie,,,Sault Ste Marie,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Southfield,26760 Lahser Rd,Southfield,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Walled Lake,,,Walled Lake,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Frankenmuth,,,Frankenmuth,MI,,,https://www.lume.com,Recreational & Medical
Skymint - Lansing,2508 S Cedar St,Lansing,MI,,,https://skymint.com,Recreational & Medical
Skymint - East Lansing,,,East Lansing,MI,,,https://skymint.com,Recreational & Medical
Skymint - Flint,4405 W. Pierson Rd,Flint,MI,48504,(810) 275-1805,https://skymint.com,Recreational & Medical
Skymint - Kalamazoo,3630 Gull Rd,Kalamazoo,MI,49048,(269) 218-0431,https://skymint.com,Recreational & Medical
Skymint - Muskegon,2345 E Apple Ave,Muskegon,MI,49442,(231) 900-1374,https://skymint.com,Recreational & Medical
Skymint - Portage,8542 Shaver Rd,Portage,MI,49024,(616) 330-3076,https://skymint.com,Recreational & Medical
Skymint - Detroit,,,Detroit,MI,,,https://skymint.com,Recreational & Medical
Skymint - Ann Arbor,,,Ann Arbor,MI,,,https://skymint.com,Recreational & Medical
Skymint - Grand Rapids,,,Grand Rapids,MI,,,https://skymint.com,Recreational & Medical
Skymint - Battle Creek,,,Battle Creek,MI,,,https://skymint.com,Recreational & Medical
Skymint - Saginaw,700 Gratiot Ave,Saginaw,MI,48602,,https://skymint.com,Recreational & Medical
Cloud Cannabis - Ann Arbor,1760 Plymouth Rd,Ann Arbor,MI,,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Cedar Springs,,,Cedar Springs,MI,,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Detroit,,,Detroit,MI,,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Gaylord,,,Gaylord,MI,,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Grand Rapids 28th St,,,Grand Rapids,MI,,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Grand Rapids Fulton St,,,Grand Rapids,MI,,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Kalamazoo,521 East Mosel Avenue,Kalamazoo,MI,49004,(269) 201-2300,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Muskegon,,,Muskegon,MI,,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - New Baltimore,,,New Baltimore,MI,,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Traverse City,356 Munson Ave,Traverse City,MI,49686,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Utica,,,Utica,MI,,,https://cloudcannabis.com,Recreational & Medical
Information Entropy - Ann Arbor Broadway,1115 Broadway St,Ann Arbor,MI,48105,,https://informationentropy.com,Recreational
Information Entropy - New Buffalo,18350 U.S. 12,New Buffalo,MI,49117,,https://informationentropy.com,Recreational
Information Entropy - Ann Arbor Miller Ave,,,Ann Arbor,MI,,,https://informationentropy.com,Recreational
Quality Roots - Waterford,1700 Tull Ct,Waterford Township,MI,48327,,https://getqualityroots.com,Recreational & Medical
Quality Roots - Hamtramck,,,Hamtramck,MI,,,https://getqualityroots.com,Recreational & Medical
Quality Roots - Battle Creek,1028 E Michigan Ave,Battle Creek,MI,49014,(269) 719-8600,https://getqualityroots.com,Recreational & Medical
Quality Roots - Detroit,,,Detroit,MI,,,https://getqualityroots.com,Recreational & Medical
Quality Roots - Madison Heights,,,Madison Heights,MI,,,https://getqualityroots.com,Recreational & Medical
Quality Roots - Owosso,,,Owosso,MI,,,https://getqualityroots.com,Recreational & Medical
Quality Roots - Berkley,,,Berkley,MI,,,https://getqualityroots.com,Recreational & Medical
Pure Options - Muskegon,,,Muskegon,MI,,,https://pureoptions.com,Recreational & Medical
Pure Options - Detroit,,,Detroit,MI,,,https://pureoptions.com,Recreational & Medical
Pure Options - Mt. Pleasant,,,Mt. Pleasant,MI,,,https://pureoptions.com,Recreational & Medical
Pure Options - Lansing Frandor,,,East Lansing,MI,,,https://pureoptions.com,Recreational & Medical
Common Citizen - Detroit,,,Detroit,MI,,,https://commoncitizen.com,Recreational & Medical
Common Citizen - Flint,,,Flint,MI,,,https://commoncitizen.com,Recreational & Medical
Common Citizen - Battle Creek,1240 E Columbia Ave,Battle Creek,MI,49014,(269) 719-8500,https://commoncitizen.com,Recreational & Medical
Ascend Cannabis - Detroit,,,Detroit,MI,,,https://letsascend.com,Recreational & Medical
Ascend Cannabis - East Lansing,1415 Michigan Ave,East Lansing,MI,48823,,https://letsascend.com,Recreational & Medical
Mint Cannabis - Coldwater,,,Coldwater,MI,,,https://themintcannabis.com,Recreational & Medical
Mint Cannabis - Kalamazoo,730 East Cork Street,Kalamazoo,MI,49001,(269) 743-7444,https://themintcannabis.com,Recreational & Medical
Mint Cannabis - Monroe,,,Monroe,MI,,,https://themintcannabis.com,Recreational & Medical
Mint Cannabis - Portage,,,Portage,MI,,,https://themintcannabis.com,Recreational & Medical
Mint Cannabis - Oxford,,,Oxford,MI,,,https://themintcannabis.com,Recreational & Medical
NOXX - Ferndale,,,Ferndale,MI,,,https://noxx.com,Recreational & Medical
NOXX - Grand Rapids,,,Grand Rapids,MI,,,https://noxx.com,Recreational & Medical
Corktown Collective,,,Detroit,MI,,,https://www.corktowncollective.com,Recreational & Medical
Greentown Cannabis,,,Detroit,MI,,,https://www.greentowncannabis.com,Recreational & Medical
Utopia Gardens,,,Detroit,MI,,,https://www.utopiagardens.com,Recreational & Medical
Clarity Cannabis - Hazel Park,,,Hazel Park,MI,,,https://claritycannabis.us,Recreational & Medical
Dream Dispensary,,,Detroit,MI,,,https://www.dreamdispensary.com,Recreational & Medical
The Woods Detroit,,,Detroit,MI,,,https://www.thewoodsdetroit.com,Recreational & Medical
Pharmhouse Wellness,,,Grand Rapids,MI,,,https://www.pharmhousewellness.com,Recreational & Medical
Space Cadet Cannabis,,,Grand Rapids,MI,,,https://www.spacecadetcannabis.com,Recreational & Medical
King Of Budz - Grand Rapids,,,Grand Rapids,MI,,,https://www.kingofbudz.com,Recreational & Medical
King Of Budz - Taylor,20720 Eureka Rd,Taylor,MI,,,https://kingofbudz.com,Recreational & Medical
Olswell - Grand Rapids,1940 28th St SE,Grand Rapids,MI,49508,,https://olswell.com,Recreational & Medical
Olswell - Traverse City,728 E Front St,Traverse City,MI,49686,,https://olswell.com,Recreational & Medical
High Profile - Grand Rapids,,,Grand Rapids,MI,,,https://highprofilecannabis.com,Recreational & Medical
High Profile - Kalamazoo,,,Kalamazoo,MI,,,https://highprofilecannabis.com,Recreational & Medical
High Profile - Ann Arbor,,,Ann Arbor,MI,,,https://highprofilecannabis.com,Recreational & Medical
High Profile - Detroit,20327 Groesbeck,Detroit,MI,,,https://highprofilecannabis.com,Recreational & Medical
The Cake House - Ann Arbor,,,Ann Arbor,MI,,,https://cakehousecannabis.com,Recreational
The Cake House - Pleasant Ridge,,,Pleasant Ridge,MI,,,https://cakehousecannabis.com,Recreational
Bloom City Club - Ann Arbor,,,Ann Arbor,MI,,,https://www.bloomcityclub.com,Recreational & Medical
Bloom City Club - Ypsilanti,,,Ypsilanti,MI,,,https://www.bloomcityclub.com,Recreational & Medical
Bloom City Club - Sturgis,,,Sturgis,MI,,,https://www.bloomcityclub.com,Recreational & Medical
Bloom City Club - Paw Paw,,,Paw Paw,MI,,,https://www.bloomcityclub.com,Recreational & Medical
Bloom City Club - Battle Creek,1193 Michigan Ave E,Battle Creek,MI,49014,(269) 224-6237,https://www.bloomcityclub.com,Recreational & Medical
Butter Dispensary - Ann Arbor,,,Ann Arbor,MI,,,https://www.butterdispensary.com,Recreational & Medical
Butter Dispensary - Berkley,,,Berkley,MI,,,https://butterworld.com,Recreational & Medical
Apothecare - Ann Arbor,,,Ann Arbor,MI,,,https://www.apothecarecannabis.com,Recreational & Medical
North Coast Provisions - Ann Arbor,,,Ann Arbor,MI,,,https://www.northcoastprovisions.com,Recreational & Medical
First Class Cannabis - Ann Arbor,,,Ann Arbor,MI,,,https://firstclasscannabisannarbor.com,Recreational & Medical
First Class Cannabis - Jackson,,,Jackson,MI,,,https://firstclasscannabisannarbor.com,Recreational & Medical
Bazonzoes - Lansing,2101 West Willow Street,Lansing,MI,48917,,https://bazonzoesmi.com,Recreational & Medical
Homegrown Cannabis Company - Lansing,,,Lansing,MI,,,https://www.homegrowncannabis.com,Recreational & Medical
Homegrown Cannabis Company - Port Huron,,,Port Huron,MI,,,https://www.homegrowncannabis.com,Recreational & Medical
The Botanical - Lansing,,,Lansing,MI,,,https://www.thebotanical.com,Recreational & Medical
Mango Cannabis - Lansing,,,Lansing,MI,,,https://mangocannabis.com,Recreational & Medical
Cannaplug - Lansing,,,Lansing,MI,,,https://cannaplugmi.com,Recreational & Medical
Pleasantrees - East Lansing,,,East Lansing,MI,,,https://enjoypleasantrees.com,Recreational & Medical
Pleasantrees - Houghton Lake,2161 W Houghton Lake Dr,Prudenville,MI,48651,,https://enjoypleasantrees.com,Recreational & Medical
Pleasantrees - Hamtramck,,,Hamtramck,MI,,,https://enjoypleasantrees.com,Recreational & Medical
Pleasantrees - Lincoln Park,,,Lincoln Park,MI,,,https://enjoypleasantrees.com,Recreational & Medical
Pleasantrees - Mt Clemens,,,Mt Clemens,MI,,,https://enjoypleasantrees.com,Recreational & Medical
High Society - East Lansing,,,East Lansing,MI,,,https://www.highsocietyeastlansing.com,Recreational & Medical
Simply Loud Dispensary - East Lansing,,,East Lansing,MI,,,https://www.simplyloud.com,Recreational & Medical
Flora - East Lansing,,,East Lansing,MI,,,https://www.floraeastlansing.com,Recreational & Medical
Lighthouse Dispensary - Traverse City,704 South Garfield Avenue,Traverse City,MI,,,https://www.lighthousedispo.com,Recreational & Medical
Stash House Dispensary - Traverse City,1525 S Division St Ste 101 & 102,Traverse City,MI,49684,,https://www.stashhousetc.com,Recreational & Medical
Puff Cannabis - Traverse City,,,Traverse City,MI,,,https://www.shoppuff.com,Recreational & Medical
Puff Cannabis - Bay City,,,Bay City,MI,,,https://www.shoppuff.com,Recreational & Medical
Puff Cannabis - Sturgis,,,Sturgis,MI,,,https://www.shoppuff.com,Recreational & Medical
Higher Love - Marquette,344 W Washington St,Marquette,MI,49855,,https://findhigherlove.com,Recreational & Medical
Higher Love - Houghton,46479 US Hwy 41,Houghton,MI,49931,,https://findhigherlove.com,Recreational & Medical
Nirvana Center - Marquette,2373 US Hwy 41,Marquette,MI,49855,,https://www.nirvanacenter.com,Recreational & Medical
Nirvana Center - Escanaba,,,Escanaba,MI,,,https://nirvanacannabis.com,Recreational & Medical
Nirvana Center - Sault Ste Marie,,,Sault Ste Marie,MI,,,https://nirvanacannabis.com,Recreational & Medical
Firelight - Marquette,918 CR-480,Marquette,MI,49855,,https://firelightandco.com,Recreational & Medical
Bloom & Blaze - Saginaw,203 South Washington Ave,Saginaw,MI,,,https://shopbloomandblaze.com,Recreational & Medical
STIIIZY - Ferndale,642 E 9 Mile Rd Ste 1B,Ferndale,MI,48220,,https://www.stiiizy.com,Recreational & Medical
Nature's Remedy - Ferndale,,,Ferndale,MI,,,https://www.naturesremedycannabis.com,Recreational & Medical
LIV Cannabis - Ferndale,,,Ferndale,MI,,,https://www.livcannabis.com,Recreational & Medical
Green Buddha - Ferndale,,,Ferndale,MI,,,https://www.greenbuddha.com,Recreational & Medical
Breeze - Hazel Park,,,Hazel Park,MI,,,https://www.breezedispensary.com,Recreational & Medical
The Reef - Detroit,6640 E 8 Mile,Detroit,MI,48234,,https://reef-dispensary.com,Recreational & Medical
The Reef - Muskegon Heights,,,Muskegon Heights,MI,,,https://reef-dispensary.com,Recreational & Medical
20 Past 4 - Jackson,,,Jackson,MI,,,https://www.20past4michigan.com,Recreational & Medical
20 Past 4 - Big Rapids,,,Big Rapids,MI,,,https://www.20past4michigan.com,Recreational & Medical
Redbud Roots - Kalamazoo,218 E Stockbridge Ave,Kalamazoo,MI,49001,(269) 459-6315,https://redbudroots.com,Recreational & Medical
Breaking Bud Cannabis Co - Battle Creek,449 Capital Ave NE,Battle Creek,MI,49017,(269) 224-6146,https://breakingbudcannabis.com,Recreational & Medical
Misty Mountain Cannabis - Bay City,,,Bay City,MI,,,https://mistymountaincanna.com,Recreational & Medical
Misty Mountain Cannabis - Muskegon,,,Muskegon,MI,,,https://mistymountaincanna.com,Recreational & Medical
Green Stem Provisioning - Niles,,,Niles,MI,,,https://greenstemmi.com,Recreational & Medical
Greenstone Provisions - Ann Arbor,,,Ann Arbor,MI,,,https://www.green-stoneretail.com,Recreational & Medical
Dispo - Bay City South,,,Bay City,MI,,,https://disposhops.com,Recreational & Medical
Dispo - Hazel Park,,,Hazel Park,MI,,,https://disposhops.com,Recreational & Medical
Dispo - Midland,,,Midland,MI,,,https://disposhops.com,Recreational & Medical
Liberty Cannabis - Detroit,2540 Rosa Parks,Detroit,MI,,,https://libertycannabis.com,Recreational & Medical
Liberty Cannabis - Madison Heights,,,Madison Heights,MI,,,https://libertycannabis.com,Recreational & Medical
Joyology - Burton,4186 Davison Rd,Burton,MI,48509,(810) 341-2910,https://joyology.com,Recreational & Medical
Joyology - Center Line Liberal,26550 Liberal St,Center Line,MI,48015,(586) 838-1010,https://joyology.com,Recreational & Medical
Joyology - Center Line Sherwood,,,Center Line,MI,,,https://joyology.com,Recreational & Medical
Joyology - Lake Orion,4898 Bald Mountain Rd,Orion Township,MI,48326,(248) 997-5777,https://joyology.com,Recreational & Medical
Joyology - Wayne,38110 Michigan Ave,Wayne,MI,48184,(734) 884-4449,https://joyology.com,Recreational & Medical
Joyology - Monroe,,,Monroe,MI,,,https://joyology.com,Recreational & Medical
Joyology - Mt Clemens,,,Mt Clemens,MI,,,https://joyology.com,Recreational & Medical
Joyology - Mount Pleasant,,,Mount Pleasant,MI,,,https://joyology.com,Recreational & Medical
Joyology - New Buffalo,,,New Buffalo,MI,,,https://joyology.com,Recreational & Medical
Joyology - Portage,,,Portage,MI,,,https://joyology.com,Recreational & Medical
Joyology - Quincy,,,Quincy,MI,,,https://joyology.com,Recreational & Medical
Joyology - Reading,,,Reading,MI,,,https://joyology.com,Recreational & Medical
Joyology - Three Rivers,,,Three Rivers,MI,,,https://joyology.com,Recreational & Medical
The Fire Station - Marquette,351 W Washington St,Marquette,MI,,,https://thefirestation.com,Recreational & Medical
The Fire Station - Houghton,906 Razorback Dr,Houghton,MI,,,https://thefirestation.com,Recreational & Medical
The Fire Station - Sault Ste Marie,2500 Ashmun St,Sault Ste Marie,MI,,,https://thefirestation.com,Recreational & Medical
Freshwater Cannabis Co - Sault Ste Marie,3398 Interstate 75 Business Spur,Sault Ste Marie,MI,,,https://freshwatercannabis.com,Recreational & Medical
Elevated Exotics - Escanaba,923 Ludington St,Escanaba,MI,49829,,https://www.elevatedexotics.com,Recreational & Medical
Elevated Exotics - Petoskey,,,Petoskey,MI,,,https://www.elevatedexotics.com,Recreational & Medical
LivWell - Sault Ste Marie,,,Sault Ste Marie,MI,,,https://livwell.com,Recreational & Medical
LivWell - Warren,14210 Eleven Mile Rd,Warren,MI,,,https://livwell.com,Recreational & Medical
Northern Specialty Health - Houghton,902 Razorback Dr,Houghton,MI,49931,,https://northernspecialtyhealth.com,Recreational & Medical
Herbology - Kalamazoo,1986 S. Sprinkle Rd,Kalamazoo,MI,49048,,https://shophcc.com,Recreational & Medical
Herbology - Detroit,,,Detroit,MI,,,https://shophcc.com,Recreational & Medical
Cannamazoo Provisioning Center,2233 N Burdick St,Kalamazoo,MI,49007,,https://cannamazoo.com,Recreational & Medical
The Refinery - Kalamazoo,3650 Alvan Rd,Kalamazoo,MI,49001,,https://therefineryprovisioning.com,Recreational & Medical
Compassionate Care By Design,401 N Sage St,Kalamazoo,MI,49006,,https://ccdkzoo.com,Recreational & Medical
Highly Cannaco - Battle Creek,293 E Columbia Ave,Battle Creek,MI,49015,,https://highlycannaco.com,Recreational & Medical
Michigan Supply & Provisions - Battle Creek,6010 B Dr N,Battle Creek,MI,49014,,https://misupply.com,Recreational & Medical
Nature's Finest - Battle Creek,625 North Ave,Battle Creek,MI,49017,,https://naturesfinestbc.com,Recreational & Medical
CannaVibes Emporium - Battle Creek,1135 W Dickman Rd,Battle Creek,MI,49037,,https://cannavibes.com,Recreational & Medical
Remedii - Battle Creek,160 E Columbia Ave,Battle Creek,MI,49015,,https://remedii.com,Recreational & Medical
Lake Effect - Portage,8314 Portage Rd,Portage,MI,49002,,https://lakeeffectmi.com,Recreational & Medical
Bud & Mary's Cannabis - Portage,2401 E Milham Ave,Portage,MI,49002,,https://budandmarys.com,Recreational & Medical
Sozo - Muskegon,580 W Hackley Ave,Muskegon,MI,49444,,https://sozolife.com,Recreational & Medical
Sozo - Saginaw,2617 Bay St,Saginaw,MI,48602,,https://sozolife.com,Recreational & Medical
Sozo - Warren,23751 Hoover Rd Suite A,Warren,MI,,,https://sozolife.com,Recreational & Medical
Bella Sol Wellness Center - Muskegon,,,Muskegon,MI,,,https://bellasol.com,Recreational & Medical
NOBO - Muskegon,,,Muskegon,MI,,,https://nobocannabis.com,Recreational & Medical
Premier Cannabis Company - Saginaw,,,Saginaw,MI,,,https://premiercannabisco.com,Recreational & Medical
Gardens Dispensary - Saginaw,,,Saginaw,MI,,,https://gardensdispensary.com,Recreational & Medical
Gardens Dispensary - Bay City,,,Bay City,MI,,,https://gardensdispensary.com,Recreational & Medical
Shango - Bay City,3976 Wilder Rd,Bay City,MI,48706,,https://goshango.com,Recreational & Medical
Nature's Medicine - Bay City,,,Bay City,MI,,,https://naturesmedicinemi.com,Recreational & Medical
Green Pharm - Bay City,,,Bay City,MI,,,https://greenpharmmi.com,Recreational & Medical
Green Pharm - Detroit,,,Detroit,MI,,,https://greenpharmmi.com,Recreational & Medical
High Level Health - Bay City,,,Bay City,MI,,,https://highlevelhealth.com,Recreational & Medical
The Dime Shop - Bay City,,,Bay City,MI,,,https://thedimeshop.com,Recreational & Medical
Star Budz - Flint,,,Flint,MI,,,https://starbudz.com,Recreational & Medical
The Sweet Leaf - Flint,,,Flint,MI,,,https://sweetleafflint.com,Recreational & Medical
Planted Provisioning - Flint,,,Flint,MI,,,https://plantedprovisioning.com,Recreational & Medical
Planted Provisioning - Davison,,,Davison,MI,,,https://plantedprovisioning.com,Recreational & Medical
Burton Cannabis Company,,,Burton,MI,,,https://burtoncannabis.com,Recreational & Medical
3Fifteen Cannabis - Flint,,,Flint,MI,,,https://3fifteen.com,Recreational & Medical
3Fifteen Cannabis - Grand Rapids Plainfield,3423 Plainfield Ave NE,Grand Rapids,MI,,,https://3fifteen.com,Recreational & Medical
3Fifteen Cannabis - Battle Creek Columbia,2245 W Columbia Ave,Battle Creek,MI,,,https://3fifteen.com,Recreational & Medical
3Fifteen Cannabis - Detroit,15308 East 8 Mile Road,Detroit,MI,,,https://3fifteen.com,Recreational & Medical
Gramz Cannabis - Flint,,,Flint,MI,,,https://gramzcannabis.com,Recreational & Medical
Smok Cannabis - Flint,,,Flint,MI,,,https://shopsmok.com,Recreational & Medical
Bacco Farms - Flint,,,Flint,MI,,,https://baccofarms.com,Recreational & Medical
Bacco Farms - Davison,,,Davison,MI,,,https://baccofarms.com,Recreational & Medical
Bacco Farms - Port Huron,,,Port Huron,MI,,,https://baccofarms.com,Recreational & Medical
Light'N Up Provisioning,,,Flint,MI,,,https://lightnup.com,Recreational & Medical
The OUI-D Shop - Flint,,,Flint,MI,,,https://theouidshop.com,Recreational & Medical
